food_type,weather_condition,packaging_type,city,distance_km,delivery_duration,rating,delay_flag,delivery_speed,complaint
Indian,Clear,Box,Shivaji Nagar,3.62,16.61,3.6,0,13.08,0
Dessert,Clear,Eco,Baner,6.59,54.54,3.9,0,7.25,0
Fast Food,Clear,Box,Baner,12.7,54.89,5.0,0,13.88,0
Dessert,Clear,Bag,Koregaon Park,9.09,33.3,2.9,0,16.38,0
Fast Food,Cloudy,Bag,Shivaji Nagar,12.86,53.51,2.5,1,14.42,1
Fast Food,Stormy,Bag,Viman Nagar,12.57,43.37,4.4,0,17.39,0
Chinese,Clear,Eco,Hadapsar,13.7,19.25,1.7,0,42.7,0
Fast Food,Clear,Plastic,Baner,2.64,26.45,1.1,0,5.99,0
Dessert,Clear,Bag,Viman Nagar,3.03,16.8,2.8,0,10.82,0
Indian,Rainy,Bag,Shivaji Nagar,2.16,48.7,2.0,1,2.66,1
Fast Food,Cloudy,Box,Baner,14.09,59.26,2.6,0,14.27,0
Chinese,Clear,Bag,Kothrud,7.65,37.32,4.9,0,12.3,0
Dessert,Clear,Plastic,Viman Nagar,1.9,42.79,2.4,0,2.66,0
Fast Food,Cloudy,Eco,Viman Nagar,5.5,47.3,3.8,0,6.98,0
Dessert,Rainy,Bag,Kothrud,5.92,21.21,2.0,1,16.75,1
Chinese,Clear,Eco,Viman Nagar,12.33,26.8,2.2,0,27.6,0
Chinese,Rainy,Eco,Hinjewadi,11.3,30.62,2.0,1,22.14,1
Dessert,Clear,Plastic,Baner,10.65,39.73,3.3,0,16.08,0
Fast Food,Clear,Box,Viman Nagar,1.31,52.52,1.9,0,1.5,0
Indian,Cloudy,Box,Pimpri,13.75,22.71,3.9,1,36.33,0
Chinese,Cloudy,Eco,Wakad,4.02,33.54,3.7,0,7.19,0
Fast Food,Clear,Bag,Shivaji Nagar,9.81,47.58,2.7,0,12.37,0
Fast Food,Stormy,Eco,Pimpri,1.87,14.37,1.1,0,7.81,0
Indian,Clear,Box,Kothrud,2.14,35.64,1.1,0,3.6,0
Chinese,Cloudy,Bag,Baner,1.13,17.22,3.1,1,3.94,0
Chinese,Clear,Box,Baner,8.92,36.96,4.4,0,14.48,0
Fast Food,Cloudy,Plastic,Pimpri,9.81,48.39,3.4,0,12.16,0
Fast Food,Stormy,Box,Viman Nagar,1.71,21.85,2.7,1,4.7,1
Indian,Clear,Bag,Shivaji Nagar,5.07,52.47,4.5,0,5.8,0
Indian,Stormy,Bag,Baner,12.92,26.74,1.8,1,28.99,1
Chinese,Cloudy,Eco,Viman Nagar,2.42,19.54,2.4,0,7.43,0
Dessert,Cloudy,Bag,Kothrud,4.03,33.27,3.3,1,7.27,0
Chinese,Clear,Plastic,Hinjewadi,6.94,53.8,2.2,0,7.74,0
Fast Food,Cloudy,Box,Hadapsar,12.79,13.45,5.0,1,57.06,0
Chinese,Cloudy,Eco,Shivaji Nagar,4.57,26.38,2.8,0,10.39,0
Dessert,Clear,Eco,Kothrud,14.96,42.66,1.2,0,21.04,0
Indian,Stormy,Bag,Koregaon Park,5.97,27.88,1.7,0,12.85,0
Dessert,Clear,Plastic,Baner,6.41,13.54,3.1,0,28.4,0
Dessert,Clear,Eco,Wakad,2.71,26.6,3.2,0,6.11,0
Dessert,Rainy,Plastic,Viman Nagar,10.52,51.05,4.9,0,12.36,0
Indian,Rainy,Plastic,Koregaon Park,4.41,58.4,3.4,1,4.53,1
Dessert,Rainy,Box,Pimpri,9.8,11.99,3.7,0,49.04,0
Dessert,Clear,Box,Baner,4.12,38.46,1.9,1,6.43,1
Dessert,Stormy,Box,Hinjewadi,6.43,15.27,1.4,0,25.27,0
Fast Food,Clear,Plastic,Koregaon Park,12.99,44.02,3.4,0,17.71,0
Dessert,Clear,Box,Viman Nagar,11.34,10.39,4.5,0,65.49,0
Indian,Clear,Eco,Koregaon Park,3.16,10.74,3.3,0,17.65,0
Dessert,Rainy,Eco,Hinjewadi,9.51,48.84,2.8,0,11.68,0
Dessert,Stormy,Bag,Shivaji Nagar,9.8,13.72,3.3,1,42.86,1
Indian,Rainy,Plastic,Pimpri,2.27,25.26,2.9,1,5.39,1
Dessert,Cloudy,Box,Hadapsar,7.52,57.9,1.6,0,7.79,0
Indian,Clear,Eco,Kothrud,4.65,59.26,4.0,0,4.71,0
Dessert,Rainy,Plastic,Viman Nagar,7.54,18.07,3.1,0,25.04,0
Indian,Clear,Plastic,Wakad,11.88,38.05,2.6,0,18.73,0
Dessert,Clear,Box,Koregaon Park,3.22,37.96,3.2,0,5.09,0
Dessert,Clear,Plastic,Viman Nagar,2.73,32.62,2.0,1,5.02,1
Fast Food,Rainy,Box,Shivaji Nagar,4.77,56.24,2.7,1,5.09,1
Fast Food,Rainy,Box,Pimpri,14.33,47.7,3.5,1,18.03,1
Dessert,Cloudy,Box,Hinjewadi,11.47,48.23,1.9,0,14.27,0
Dessert,Clear,Plastic,Hadapsar,1.27,23.48,4.0,0,3.25,0
Chinese,Clear,Plastic,Viman Nagar,6.61,31.72,3.1,0,12.5,0
Indian,Rainy,Box,Wakad,4.6,34.37,4.4,0,8.03,0
Chinese,Clear,Plastic,Kothrud,9.93,24.95,4.4,1,23.88,0
Fast Food,Cloudy,Box,Kothrud,7.43,14.74,3.0,1,30.24,0
Fast Food,Rainy,Bag,Hadapsar,14.5,16.32,1.8,0,53.31,0
Fast Food,Clear,Plastic,Wakad,4.07,19.03,3.9,0,12.83,0
Fast Food,Stormy,Plastic,Shivaji Nagar,9.23,20.18,2.7,0,27.44,0
Dessert,Rainy,Bag,Wakad,10.8,22.11,3.4,0,29.31,0
Fast Food,Clear,Bag,Shivaji Nagar,12.56,22.77,1.4,0,33.1,0
Dessert,Rainy,Bag,Shivaji Nagar,6.7,32.79,3.5,0,12.26,0
Dessert,Clear,Box,Pimpri,10.62,35.48,2.5,0,17.96,0
Fast Food,Cloudy,Box,Wakad,5.24,25.44,2.3,1,12.36,1
Fast Food,Cloudy,Eco,Hinjewadi,7.1,55.36,4.9,1,7.7,0
Indian,Stormy,Bag,Hinjewadi,13.54,37.66,2.7,0,21.57,0
Chinese,Rainy,Eco,Koregaon Park,14.3,49.37,3.7,0,17.38,0
Fast Food,Clear,Box,Wakad,11.06,56.21,3.5,0,11.81,0
Indian,Cloudy,Plastic,Wakad,6.24,18.16,1.4,0,20.62,0
Indian,Clear,Bag,Kothrud,12.48,31.39,4.0,0,23.85,0
Chinese,Rainy,Plastic,Pimpri,1.36,31.66,2.3,1,2.58,1
Dessert,Rainy,Box,Kothrud,2.44,27.72,4.2,0,5.28,0
Fast Food,Clear,Bag,Viman Nagar,10.26,10.45,3.4,0,58.91,0
Chinese,Clear,Eco,Baner,5.08,50.8,2.3,0,6.0,0
Fast Food,Cloudy,Eco,Koregaon Park,14.32,15.58,2.4,0,55.15,0
Indian,Cloudy,Box,Hadapsar,7.1,59.77,3.9,0,7.13,0
Indian,Clear,Plastic,Viman Nagar,7.01,48.65,3.2,0,8.65,0
Dessert,Clear,Box,Viman Nagar,10.49,39.0,3.7,0,16.14,0
Indian,Clear,Plastic,Wakad,11.75,17.73,1.6,0,39.76,0
Indian,Cloudy,Box,Viman Nagar,7.66,35.77,4.1,1,12.85,0
Chinese,Clear,Eco,Baner,4.0,23.06,2.3,0,10.41,0
Fast Food,Cloudy,Plastic,Viman Nagar,11.83,22.62,3.5,0,31.38,0
Fast Food,Clear,Box,Wakad,5.48,51.48,1.5,0,6.39,0
Chinese,Rainy,Bag,Kothrud,3.45,29.03,2.3,0,7.13,0
Dessert,Clear,Eco,Viman Nagar,9.84,32.54,3.6,0,18.14,0
Fast Food,Cloudy,Eco,Hadapsar,2.27,52.15,2.1,0,2.61,0
Indian,Clear,Bag,Pimpri,14.6,14.39,4.5,0,60.88,0
Fast Food,Rainy,Box,Pimpri,9.85,39.73,3.6,0,14.88,0
Indian,Clear,Plastic,Shivaji Nagar,14.8,38.91,4.5,0,22.82,0
Dessert,Cloudy,Eco,Koregaon Park,5.74,31.26,2.6,0,11.02,0
Chinese,Cloudy,Box,Baner,14.6,51.49,1.1,1,17.01,0
Fast Food,Clear,Bag,Hinjewadi,3.04,57.14,3.3,0,3.19,0
Chinese,Cloudy,Plastic,Baner,1.57,33.27,2.4,1,2.83,1
Fast Food,Rainy,Box,Shivaji Nagar,1.46,32.81,2.8,0,2.67,0
Indian,Clear,Box,Hadapsar,7.51,35.1,3.7,0,12.84,0
Chinese,Clear,Eco,Kothrud,2.16,46.16,3.8,1,2.81,0
Fast Food,Clear,Eco,Hinjewadi,8.17,43.4,1.1,0,11.29,0
Indian,Cloudy,Plastic,Wakad,5.59,21.14,4.1,0,15.87,0
Chinese,Cloudy,Box,Wakad,5.7,13.19,3.0,0,25.93,0
Chinese,Clear,Bag,Koregaon Park,9.9,57.46,3.2,0,10.34,0
Fast Food,Rainy,Bag,Hinjewadi,3.28,23.05,2.2,1,8.54,1
Fast Food,Cloudy,Plastic,Wakad,11.73,41.93,2.7,0,16.79,0
Fast Food,Stormy,Box,Koregaon Park,9.15,51.42,3.8,1,10.68,1
Indian,Rainy,Eco,Hadapsar,13.81,25.01,4.1,0,33.13,0
Fast Food,Stormy,Box,Hinjewadi,6.11,41.77,2.5,0,8.78,0
Chinese,Rainy,Eco,Hadapsar,14.76,15.4,3.8,0,57.51,0
Chinese,Clear,Bag,Wakad,9.06,58.5,2.0,0,9.29,0
Fast Food,Cloudy,Plastic,Pimpri,14.63,12.91,4.3,0,67.99,0
Fast Food,Clear,Plastic,Baner,1.38,31.91,3.4,0,2.59,0
Dessert,Clear,Plastic,Baner,11.19,36.84,4.1,0,18.22,0
Chinese,Clear,Eco,Hadapsar,12.43,49.52,2.9,1,15.06,0
Indian,Cloudy,Bag,Pimpri,1.74,16.06,1.9,1,6.5,1
Dessert,Cloudy,Bag,Koregaon Park,9.11,32.04,2.7,0,17.06,0
Fast Food,Clear,Plastic,Kothrud,12.23,24.99,2.5,1,29.36,0
Fast Food,Clear,Plastic,Kothrud,8.85,25.6,2.3,1,20.74,0
Chinese,Clear,Eco,Shivaji Nagar,1.89,48.94,1.8,0,2.32,0
Fast Food,Rainy,Eco,Viman Nagar,10.71,10.27,4.0,0,62.57,0
Indian,Clear,Box,Kothrud,1.85,47.45,1.3,0,2.34,0
Chinese,Cloudy,Eco,Pimpri,12.44,50.52,4.6,1,14.77,0
Fast Food,Clear,Box,Baner,1.6,55.07,1.7,0,1.74,0
Chinese,Clear,Plastic,Baner,2.92,41.34,4.9,0,4.24,0
Fast Food,Clear,Bag,Kothrud,4.85,26.67,5.0,0,10.91,0
Fast Food,Clear,Eco,Kothrud,9.87,31.36,2.6,0,18.88,0
Fast Food,Stormy,Bag,Shivaji Nagar,14.67,58.49,5.0,0,15.05,0
Indian,Clear,Eco,Kothrud,2.65,54.06,4.5,0,2.94,0
Indian,Clear,Eco,Hadapsar,3.0,33.18,1.3,0,5.42,0
Chinese,Clear,Box,Wakad,6.16,57.15,4.8,0,6.47,0
Fast Food,Clear,Eco,Viman Nagar,12.71,51.15,1.2,0,14.91,0
Fast Food,Clear,Plastic,Koregaon Park,7.54,55.05,1.7,0,8.22,0
Indian,Clear,Bag,Viman Nagar,5.5,44.15,3.3,1,7.47,0
Fast Food,Rainy,Eco,Viman Nagar,8.86,52.88,1.3,0,10.05,0
Indian,Rainy,Bag,Kothrud,4.65,54.59,1.6,0,5.11,0
Fast Food,Clear,Bag,Hadapsar,6.62,14.6,4.8,0,27.21,0
Chinese,Clear,Bag,Wakad,5.66,58.26,5.0,1,5.83,0
Fast Food,Stormy,Eco,Wakad,12.26,26.68,4.2,0,27.57,0
Fast Food,Clear,Box,Pimpri,13.94,31.99,3.1,0,26.15,0
Dessert,Clear,Bag,Wakad,11.63,49.6,4.6,1,14.07,0
Indian,Clear,Bag,Hadapsar,7.15,43.24,1.4,0,9.92,0
Fast Food,Clear,Eco,Pimpri,8.06,54.65,4.8,0,8.85,0
Fast Food,Cloudy,Eco,Hinjewadi,2.75,30.03,2.4,0,5.49,0
Dessert,Clear,Plastic,Shivaji Nagar,11.46,28.66,4.4,0,23.99,0
Dessert,Cloudy,Plastic,Hinjewadi,9.35,11.58,3.7,0,48.45,0
Indian,Clear,Box,Viman Nagar,13.63,33.14,4.8,0,24.68,0
Dessert,Clear,Box,Hadapsar,3.81,46.2,4.5,1,4.95,0
Chinese,Cloudy,Box,Pimpri,11.64,25.06,4.6,0,27.87,0
Dessert,Clear,Box,Hinjewadi,10.59,33.14,3.5,0,19.17,0
Chinese,Rainy,Bag,Hadapsar,4.72,20.97,4.3,0,13.51,0
Indian,Clear,Eco,Koregaon Park,10.34,48.64,4.0,0,12.75,0
Indian,Cloudy,Plastic,Koregaon Park,13.94,13.03,1.6,0,64.19,0
Indian,Clear,Bag,Koregaon Park,13.86,45.27,3.6,0,18.37,0
Indian,Cloudy,Eco,Shivaji Nagar,11.07,28.95,1.6,1,22.94,0
Indian,Clear,Eco,Wakad,1.67,12.08,4.5,0,8.29,0
Chinese,Cloudy,Bag,Shivaji Nagar,13.21,52.67,1.3,0,15.05,0
Chinese,Clear,Bag,Shivaji Nagar,10.21,34.39,4.9,0,17.81,0
Indian,Cloudy,Plastic,Hadapsar,5.35,39.97,2.6,1,8.03,1
Dessert,Clear,Box,Hadapsar,3.62,46.6,1.7,1,4.66,1
Fast Food,Stormy,Box,Viman Nagar,2.63,42.75,4.7,1,3.69,1
Indian,Clear,Plastic,Pimpri,1.7,46.54,1.2,0,2.19,0
Dessert,Clear,Plastic,Baner,11.56,48.11,2.9,1,14.42,1
Fast Food,Clear,Box,Koregaon Park,4.3,39.46,4.1,0,6.54,0
Indian,Clear,Bag,Kothrud,1.34,28.28,2.3,0,2.84,0
Indian,Clear,Box,Baner,6.56,22.16,3.1,0,17.76,0
Chinese,Stormy,Eco,Kothrud,7.76,55.15,3.8,1,8.44,1
Fast Food,Stormy,Eco,Hadapsar,3.37,58.5,4.8,1,3.46,1
Fast Food,Clear,Plastic,Baner,1.62,27.88,1.4,1,3.49,1
Dessert,Stormy,Box,Viman Nagar,3.65,15.62,1.6,1,14.02,1
Chinese,Rainy,Box,Koregaon Park,10.51,21.13,3.0,0,29.84,0
Chinese,Clear,Eco,Wakad,2.15,43.53,2.7,1,2.96,1
Chinese,Cloudy,Box,Kothrud,8.77,18.65,2.6,0,28.21,0
Chinese,Rainy,Plastic,Koregaon Park,3.05,49.01,2.2,0,3.73,0
Fast Food,Stormy,Plastic,Viman Nagar,3.74,56.15,3.2,0,4.0,0
Fast Food,Clear,Eco,Wakad,6.5,58.18,4.5,1,6.7,0
Indian,Rainy,Box,Wakad,2.41,10.47,1.6,1,13.81,1
Indian,Clear,Box,Pimpri,3.42,57.91,1.9,0,3.54,0
Chinese,Clear,Eco,Viman Nagar,5.89,47.01,3.7,0,7.52,0
Chinese,Clear,Bag,Viman Nagar,5.62,14.2,1.2,0,23.75,0
Chinese,Stormy,Bag,Koregaon Park,11.49,30.76,3.7,0,22.41,0
Indian,Cloudy,Box,Koregaon Park,2.05,45.0,2.3,0,2.73,0
Dessert,Cloudy,Plastic,Hinjewadi,13.05,57.83,2.4,0,13.54,0
Dessert,Rainy,Bag,Koregaon Park,12.43,18.21,2.6,0,40.96,0
Indian,Clear,Box,Koregaon Park,11.72,16.39,2.4,0,42.9,0
Indian,Clear,Bag,Pimpri,5.33,33.62,4.4,0,9.51,0
Indian,Clear,Eco,Wakad,12.52,58.4,4.8,0,12.86,0
Indian,Clear,Bag,Pimpri,3.56,58.57,3.2,0,3.65,0
Indian,Cloudy,Bag,Koregaon Park,2.74,21.4,3.3,1,7.68,0
Indian,Rainy,Eco,Baner,1.63,25.97,1.3,0,3.77,0
Chinese,Clear,Plastic,Pimpri,14.15,55.4,3.9,1,15.32,0
Chinese,Clear,Box,Shivaji Nagar,5.31,46.74,3.3,0,6.82,0
Chinese,Clear,Plastic,Baner,13.85,58.62,1.2,0,14.18,0
Chinese,Clear,Plastic,Kothrud,4.82,54.66,1.8,1,5.29,1
Indian,Stormy,Bag,Hadapsar,13.71,20.75,1.8,0,39.64,0
Dessert,Rainy,Box,Hinjewadi,13.66,47.99,1.7,0,17.08,0
Fast Food,Cloudy,Bag,Kothrud,13.93,12.43,3.6,1,67.24,0
Indian,Clear,Eco,Hadapsar,7.95,50.89,4.7,0,9.37,0
Fast Food,Clear,Plastic,Pimpri,13.12,40.08,4.1,0,19.64,0
Dessert,Clear,Plastic,Shivaji Nagar,14.31,57.81,2.9,0,14.85,0
Chinese,Cloudy,Eco,Hadapsar,5.54,58.0,2.6,0,5.73,0
Dessert,Cloudy,Box,Hadapsar,6.86,12.54,2.5,0,32.82,0
Indian,Clear,Plastic,Kothrud,11.07,18.03,3.4,0,36.84,0
Chinese,Rainy,Plastic,Koregaon Park,5.21,34.21,2.4,0,9.14,0
Indian,Clear,Box,Hinjewadi,11.55,53.97,1.9,1,12.84,1
Chinese,Rainy,Bag,Wakad,2.03,50.72,3.4,1,2.4,1
Fast Food,Stormy,Eco,Shivaji Nagar,8.33,58.22,2.6,0,8.58,0
Fast Food,Rainy,Box,Hadapsar,2.71,40.9,1.1,0,3.98,0
Fast Food,Rainy,Eco,Koregaon Park,5.11,22.83,1.1,1,13.43,1
Dessert,Clear,Eco,Wakad,4.62,11.26,2.1,0,24.62,0
Indian,Clear,Plastic,Shivaji Nagar,12.75,21.15,3.0,0,36.17,0
Dessert,Clear,Box,Koregaon Park,3.71,43.76,2.4,0,5.09,0
Fast Food,Clear,Eco,Koregaon Park,12.32,56.31,1.1,1,13.13,1
Indian,Cloudy,Bag,Viman Nagar,12.12,26.05,1.9,0,27.92,0
Fast Food,Cloudy,Eco,Koregaon Park,7.98,53.79,1.4,1,8.9,1
Dessert,Clear,Plastic,Wakad,4.27,29.74,4.8,1,8.61,0
Dessert,Cloudy,Bag,Hinjewadi,4.18,25.41,2.3,0,9.87,0
Dessert,Clear,Bag,Viman Nagar,7.51,35.44,1.1,1,12.71,1
Fast Food,Clear,Box,Shivaji Nagar,1.12,32.11,3.6,0,2.09,0
Indian,Clear,Bag,Baner,8.44,55.69,1.9,0,9.09,0
Indian,Clear,Box,Pimpri,14.34,33.41,3.3,0,25.75,0
Fast Food,Clear,Box,Shivaji Nagar,3.17,23.87,1.6,1,7.97,1
Indian,Clear,Bag,Koregaon Park,9.03,52.13,4.9,1,10.39,0
Fast Food,Clear,Box,Wakad,14.46,59.94,4.9,0,14.47,0
Indian,Stormy,Box,Hadapsar,13.05,42.41,3.6,0,18.46,0
Chinese,Clear,Bag,Kothrud,12.91,22.52,3.8,0,34.4,0
Chinese,Clear,Plastic,Pimpri,12.51,21.94,2.7,0,34.21,0
Dessert,Clear,Eco,Shivaji Nagar,5.33,12.89,4.8,1,24.81,0
Chinese,Rainy,Box,Kothrud,13.47,13.86,2.7,1,58.31,1
Chinese,Clear,Box,Pimpri,14.18,55.75,2.0,1,15.26,0
Chinese,Cloudy,Bag,Hinjewadi,7.94,14.82,1.5,1,32.15,0
Fast Food,Rainy,Eco,Hadapsar,5.96,34.22,1.8,0,10.45,0
Chinese,Rainy,Eco,Pimpri,6.8,44.91,3.3,0,9.08,0
Chinese,Rainy,Box,Koregaon Park,5.68,52.52,2.0,0,6.49,0
Dessert,Clear,Bag,Pimpri,3.97,18.56,3.6,0,12.83,0
Chinese,Clear,Plastic,Wakad,9.66,31.89,2.5,1,18.17,0
Chinese,Clear,Eco,Wakad,8.88,22.57,4.5,0,23.61,0
Indian,Rainy,Plastic,Wakad,7.48,22.79,3.2,1,19.69,1
Dessert,Clear,Bag,Shivaji Nagar,2.34,25.19,3.5,1,5.57,0
Dessert,Clear,Plastic,Hadapsar,12.16,39.36,3.2,1,18.54,0
Dessert,Stormy,Bag,Hadapsar,3.45,10.83,4.5,0,19.11,0
Dessert,Clear,Box,Shivaji Nagar,2.6,30.44,1.3,0,5.12,0
Dessert,Cloudy,Plastic,Hadapsar,9.72,19.34,1.3,0,30.16,0
Dessert,Cloudy,Box,Wakad,6.58,58.36,3.8,1,6.76,0
Fast Food,Clear,Box,Wakad,1.84,39.14,4.1,1,2.82,0
Chinese,Clear,Bag,Baner,5.98,53.4,2.7,0,6.72,0
Dessert,Clear,Plastic,Pimpri,11.8,19.78,2.4,0,35.79,0
Chinese,Rainy,Eco,Hadapsar,9.61,50.5,2.1,1,11.42,1
Chinese,Rainy,Plastic,Viman Nagar,6.08,30.74,1.9,0,11.87,0
Fast Food,Cloudy,Eco,Wakad,3.69,18.88,4.6,1,11.73,0
Dessert,Stormy,Box,Pimpri,9.85,48.06,2.2,0,12.3,0
Indian,Rainy,Box,Kothrud,13.43,48.1,3.6,1,16.75,1
Fast Food,Clear,Bag,Viman Nagar,10.05,59.79,4.1,0,10.09,0
Indian,Clear,Eco,Viman Nagar,12.38,49.05,1.1,0,15.14,0
Chinese,Cloudy,Plastic,Shivaji Nagar,8.3,17.26,1.1,0,28.85,0
Chinese,Clear,Bag,Hadapsar,11.05,26.13,2.3,1,25.37,0
Fast Food,Clear,Bag,Viman Nagar,13.55,32.59,3.8,0,24.95,0
Fast Food,Cloudy,Bag,Kothrud,11.82,16.33,2.0,0,43.43,0
Indian,Clear,Plastic,Pimpri,13.74,49.4,1.0,0,16.69,0
Dessert,Stormy,Bag,Shivaji Nagar,7.04,36.33,2.2,1,11.63,1
Indian,Rainy,Plastic,Koregaon Park,13.66,57.22,1.4,0,14.32,0
Fast Food,Clear,Bag,Koregaon Park,9.7,39.47,1.9,0,14.75,0
Indian,Stormy,Eco,Pimpri,13.18,36.14,2.3,0,21.88,0
Fast Food,Clear,Box,Pimpri,1.55,13.57,1.5,0,6.85,0
Indian,Clear,Eco,Koregaon Park,10.21,17.47,3.8,0,35.07,0
Fast Food,Clear,Eco,Viman Nagar,12.87,52.48,2.0,0,14.71,0
Fast Food,Clear,Bag,Hadapsar,3.44,59.53,3.6,1,3.47,0
Fast Food,Clear,Eco,Koregaon Park,10.27,30.76,3.4,0,20.03,0
Dessert,Clear,Eco,Pimpri,12.55,50.5,4.6,0,14.91,0
Indian,Clear,Eco,Shivaji Nagar,5.03,41.38,1.4,0,7.29,0
Indian,Clear,Bag,Kothrud,6.67,57.95,1.9,0,6.91,0
Indian,Cloudy,Plastic,Shivaji Nagar,8.97,21.91,4.5,0,24.56,0
Fast Food,Cloudy,Box,Shivaji Nagar,8.27,37.24,4.3,1,13.32,0
Indian,Clear,Box,Hadapsar,1.55,30.44,1.8,0,3.06,0
Indian,Clear,Plastic,Koregaon Park,2.38,37.09,1.4,1,3.85,1
Fast Food,Clear,Plastic,Wakad,2.41,23.44,4.4,0,6.17,0
Chinese,Clear,Eco,Pimpri,4.67,34.89,1.7,0,8.03,0
Fast Food,Cloudy,Box,Shivaji Nagar,4.44,41.24,4.5,1,6.46,0
Indian,Cloudy,Plastic,Shivaji Nagar,11.39,14.06,4.8,0,48.61,0
Fast Food,Clear,Eco,Hinjewadi,9.02,47.15,1.9,0,11.48,0
Chinese,Clear,Box,Pimpri,11.7,45.33,4.4,0,15.49,0
Fast Food,Clear,Bag,Kothrud,1.98,54.02,2.7,1,2.2,1
Indian,Rainy,Bag,Wakad,7.79,31.29,4.2,0,14.94,0
Chinese,Clear,Box,Koregaon Park,5.53,13.08,2.6,1,25.37,0
Dessert,Stormy,Box,Baner,12.9,33.07,1.3,0,23.4,0
Indian,Cloudy,Bag,Baner,10.91,16.88,3.9,0,38.78,0
Chinese,Clear,Bag,Pimpri,13.17,42.37,1.6,0,18.65,0
Chinese,Rainy,Box,Koregaon Park,1.65,12.36,4.7,0,8.01,0
Dessert,Stormy,Eco,Hinjewadi,11.09,28.7,2.7,0,23.18,0
Fast Food,Rainy,Plastic,Kothrud,8.56,14.14,1.3,0,36.32,0
Fast Food,Clear,Plastic,Wakad,12.55,10.17,1.9,1,74.04,0
Indian,Clear,Box,Hinjewadi,8.1,58.03,4.5,0,8.37,0
Dessert,Cloudy,Plastic,Wakad,8.56,59.81,2.3,1,8.59,1
Fast Food,Rainy,Bag,Baner,1.72,37.78,4.4,1,2.73,1
Dessert,Rainy,Bag,Viman Nagar,10.36,21.95,1.7,0,28.32,0
Fast Food,Cloudy,Plastic,Baner,4.82,55.55,2.9,0,5.21,0
Chinese,Cloudy,Box,Viman Nagar,1.28,56.15,4.5,0,1.37,0
Fast Food,Stormy,Bag,Koregaon Park,1.93,52.73,1.2,0,2.2,0
Dessert,Clear,Eco,Pimpri,14.4,37.22,2.2,1,23.21,0
Chinese,Rainy,Eco,Baner,5.85,13.74,4.6,0,25.55,0
Chinese,Cloudy,Bag,Hinjewadi,13.15,14.42,3.4,0,54.72,0
Chinese,Cloudy,Bag,Koregaon Park,14.44,54.83,3.9,1,15.8,0
Dessert,Rainy,Plastic,Shivaji Nagar,14.21,53.79,4.4,0,15.85,0
Indian,Clear,Box,Koregaon Park,13.34,31.72,3.1,0,25.23,0
Indian,Cloudy,Plastic,Shivaji Nagar,13.53,26.41,4.4,0,30.74,0
Indian,Cloudy,Box,Viman Nagar,5.05,42.21,3.6,0,7.18,0
Dessert,Clear,Eco,Koregaon Park,3.12,50.35,3.7,1,3.72,0
Chinese,Clear,Eco,Shivaji Nagar,9.95,46.58,1.6,0,12.82,0
Indian,Clear,Box,Viman Nagar,7.83,40.78,4.8,0,11.52,0
Dessert,Clear,Plastic,Koregaon Park,2.38,21.58,4.2,1,6.62,0
Indian,Clear,Bag,Koregaon Park,10.49,23.13,2.0,0,27.21,0
Fast Food,Clear,Box,Viman Nagar,8.88,46.2,3.3,0,11.53,0
Indian,Rainy,Plastic,Viman Nagar,13.08,50.13,2.5,0,15.66,0
Indian,Rainy,Eco,Koregaon Park,9.53,15.81,3.6,0,36.17,0
Chinese,Rainy,Bag,Hadapsar,9.04,19.36,5.0,1,28.02,1
Dessert,Cloudy,Eco,Wakad,7.17,44.02,1.2,0,9.77,0
Chinese,Clear,Box,Hadapsar,7.48,29.45,4.8,0,15.24,0
Chinese,Clear,Eco,Kothrud,14.36,38.16,1.3,1,22.58,0
Chinese,Cloudy,Eco,Baner,2.94,40.74,2.8,0,4.33,0
Chinese,Clear,Box,Wakad,7.25,48.81,2.9,0,8.91,0
Chinese,Stormy,Bag,Hinjewadi,10.18,50.29,2.1,0,12.15,0
Indian,Cloudy,Box,Baner,7.06,24.0,3.3,0,17.65,0
Chinese,Rainy,Plastic,Hadapsar,4.97,37.06,4.3,0,8.05,0
Chinese,Stormy,Box,Viman Nagar,5.02,16.18,2.2,0,18.62,0
Dessert,Clear,Box,Koregaon Park,4.27,52.1,1.3,1,4.92,1
Fast Food,Clear,Bag,Hadapsar,5.81,52.27,3.5,0,6.67,0
Indian,Rainy,Plastic,Hinjewadi,13.2,24.98,4.0,0,31.71,0
Indian,Clear,Eco,Kothrud,8.07,18.03,4.8,0,26.86,0
Indian,Stormy,Eco,Hinjewadi,4.36,13.5,1.6,0,19.38,0
Chinese,Clear,Eco,Hinjewadi,6.38,38.75,4.6,1,9.88,0
Chinese,Rainy,Eco,Hadapsar,2.48,14.57,2.9,0,10.21,0
Chinese,Rainy,Bag,Viman Nagar,13.66,44.03,1.9,0,18.61,0
Dessert,Rainy,Plastic,Wakad,6.71,43.91,4.9,0,9.17,0
Fast Food,Clear,Bag,Baner,14.73,40.7,2.0,0,21.71,0
Chinese,Clear,Box,Viman Nagar,5.87,53.83,3.9,0,6.54,0
Fast Food,Cloudy,Plastic,Pimpri,12.71,28.91,4.1,0,26.38,0
Dessert,Clear,Plastic,Hadapsar,4.59,55.11,2.7,1,5.0,1
Indian,Cloudy,Eco,Hinjewadi,2.07,11.85,3.8,0,10.48,0
Chinese,Rainy,Eco,Baner,1.44,15.64,3.3,0,5.52,0
