driver_rating,food_type,distance_km,weather_condition,packaging_type,customer_past_complaints,city,delivery_duration,complaint
3.6,South Indian,3.24,Clear,Foil,3,Wakad,71.1,0
4.7,South Indian,7.6,Clear,Box,5,Swargate,68.5,0
1.4,Burger,17.0,Rain,Box,1,Wakad,11.0,0
3.3,Chinese,1.67,Rain,Box,3,Hadapsar,33.6,0
1.1,Biryani,2.74,Storm,Plastic,4,Pimpri,87.3,0
2.8,Indian,5.47,Fog,Plastic,0,Hadapsar,47.8,0
4.1,South Indian,17.4,Rain,Foil,4,Hinjewadi,45.8,0
2.3,Pizza,9.06,Clear,Plastic,2,Baner,72.6,1
4.4,Biryani,11.12,Rain,Box,5,Wakad,80.6,1
1.5,Chinese,14.33,Fog,Plastic,4,Hinjewadi,40.1,1
3.0,Biryani,13.18,Rain,Paper,0,Wakad,18.3,0
4.7,Burger,2.95,Rain,Plastic,5,Koregaon Park,59.8,1
3.5,Burger,13.07,Rain,Box,5,Koregaon Park,88.0,1
1.6,South Indian,18.91,Rain,Plastic,2,Pimpri,42.5,0
2.4,South Indian,19.57,Storm,Paper,0,Kothrud,78.7,1
1.7,Biryani,6.51,Fog,Plastic,5,Wakad,38.8,0
3.7,Pizza,15.01,Fog,Foil,0,Shivaji Nagar,60.5,0
2.6,South Indian,18.9,Storm,Foil,4,Wakad,79.8,0
2.4,Pizza,17.33,Rain,Foil,2,Hinjewadi,47.5,1
3.8,Indian,8.99,Fog,Paper,1,Shivaji Nagar,67.4,1
4.5,Burger,9.3,Clear,Box,3,Viman Nagar,23.7,0
2.8,Chinese,4.02,Fog,Paper,5,Viman Nagar,28.0,0
3.9,Chinese,13.95,Fog,Box,0,Kothrud,41.8,0
4.2,Chinese,8.86,Fog,Box,5,Hadapsar,77.4,1
4.4,South Indian,0.73,Clear,Paper,1,Hadapsar,19.5,0
1.8,Chinese,2.8,Storm,Box,1,Hadapsar,57.8,0
3.4,Chinese,5.36,Rain,Paper,0,Viman Nagar,23.2,0
1.7,Pizza,15.3,Clear,Foil,5,Hinjewadi,72.6,1
1.6,South Indian,13.14,Storm,Foil,2,Shivaji Nagar,89.5,1
4.5,Pizza,14.87,Rain,Foil,4,Wakad,66.8,0
4.3,South Indian,9.08,Storm,Plastic,2,Shivaji Nagar,45.8,0
3.6,Indian,16.0,Rain,Plastic,0,Shivaji Nagar,79.8,0
2.4,South Indian,11.29,Storm,Plastic,5,Kothrud,65.4,1
3.4,Pizza,19.1,Rain,Foil,4,Shivaji Nagar,21.9,0
1.5,South Indian,13.12,Rain,Plastic,4,Pimpri,76.0,1
1.7,Chinese,13.35,Storm,Plastic,2,Wakad,39.3,1
3.3,South Indian,7.46,Fog,Foil,2,Swargate,33.6,0
1.2,South Indian,7.03,Storm,Plastic,5,Hinjewadi,71.8,1
3.0,Burger,9.96,Rain,Paper,0,Kothrud,56.0,1
3.9,Biryani,13.04,Rain,Box,1,Koregaon Park,31.6,0
3.0,Pizza,11.84,Rain,Paper,3,Pimpri,77.1,1
1.0,Burger,18.12,Storm,Plastic,2,Kothrud,76.2,0
2.8,Burger,1.73,Storm,Plastic,2,Koregaon Park,78.1,1
3.8,Burger,17.72,Storm,Box,4,Baner,65.8,1
4.3,Chinese,12.9,Rain,Plastic,3,Kothrud,55.9,0
3.4,Indian,17.28,Fog,Box,0,Viman Nagar,32.8,0
4.1,Biryani,8.9,Clear,Plastic,1,Hadapsar,79.6,0
1.0,Burger,17.91,Rain,Foil,1,Wakad,44.7,0
3.5,Biryani,7.34,Storm,Plastic,1,Kothrud,84.4,1
1.6,Burger,5.55,Clear,Paper,1,Swargate,75.7,0
1.5,Biryani,15.93,Fog,Foil,0,Kothrud,36.6,1
2.6,Pizza,13.06,Rain,Paper,1,Swargate,33.6,0
1.2,Burger,2.49,Fog,Plastic,1,Wakad,89.7,1
1.3,Indian,4.18,Rain,Paper,1,Hadapsar,56.4,0
2.2,Chinese,10.14,Fog,Foil,4,Viman Nagar,60.9,1
3.6,Chinese,6.15,Fog,Box,3,Wakad,33.3,0
4.4,Biryani,13.65,Storm,Box,5,Shivaji Nagar,37.8,0
1.6,Chinese,7.43,Clear,Box,1,Hadapsar,76.5,1
3.8,Pizza,12.57,Fog,Paper,1,Kothrud,48.6,0
4.8,Indian,12.48,Storm,Foil,3,Kothrud,46.3,0
1.7,Burger,19.47,Fog,Box,0,Hadapsar,26.0,0
1.1,South Indian,14.43,Rain,Plastic,5,Kothrud,79.6,1
1.7,Burger,11.72,Rain,Plastic,2,Shivaji Nagar,59.1,0
2.1,Chinese,12.8,Rain,Box,2,Shivaji Nagar,38.5,0
1.5,South Indian,7.67,Rain,Plastic,4,Pimpri,55.4,0
3.1,Chinese,9.6,Fog,Foil,4,Koregaon Park,60.2,1
1.7,South Indian,2.82,Rain,Paper,5,Swargate,11.5,1
2.6,South Indian,10.21,Rain,Box,3,Swargate,21.0,0
4.8,Biryani,19.17,Fog,Box,4,Viman Nagar,88.9,1
3.8,Chinese,12.36,Rain,Box,0,Baner,88.9,0
4.4,Indian,3.29,Storm,Foil,4,Viman Nagar,40.2,0
2.9,Biryani,2.56,Fog,Plastic,0,Pimpri,66.3,1
4.2,Chinese,9.54,Fog,Plastic,2,Pimpri,25.2,0
4.6,Chinese,3.83,Fog,Plastic,4,Hinjewadi,72.2,0
4.6,South Indian,9.39,Clear,Paper,5,Hadapsar,35.6,1
2.2,Chinese,0.87,Storm,Foil,2,Swargate,15.0,0
1.7,Chinese,6.78,Storm,Plastic,3,Baner,11.4,0
4.2,Indian,1.8,Fog,Plastic,4,Hinjewadi,42.9,1
1.8,Burger,8.72,Storm,Plastic,2,Shivaji Nagar,39.1,1
1.3,Biryani,10.53,Storm,Foil,5,Hinjewadi,37.9,1
3.4,Pizza,7.46,Storm,Plastic,3,Baner,51.5,0
1.3,Indian,13.35,Clear,Box,3,Viman Nagar,62.0,0
1.5,Chinese,7.53,Rain,Foil,4,Shivaji Nagar,40.7,1
1.7,Indian,15.11,Storm,Plastic,2,Hinjewadi,69.0,1
2.7,Burger,14.02,Fog,Paper,4,Koregaon Park,63.5,1
4.9,Biryani,10.68,Storm,Box,2,Koregaon Park,29.2,0
1.8,Burger,1.37,Rain,Plastic,3,Wakad,49.0,0
3.8,Pizza,8.72,Rain,Foil,0,Wakad,40.5,0
2.6,Chinese,13.71,Clear,Plastic,5,Wakad,83.5,1
1.6,Indian,5.87,Rain,Plastic,0,Hadapsar,80.4,1
1.2,Biryani,3.36,Rain,Plastic,4,Hinjewadi,38.1,0
2.6,Indian,3.17,Fog,Plastic,5,Wakad,73.3,1
2.4,Burger,10.28,Storm,Plastic,1,Wakad,86.3,1
1.9,Biryani,17.76,Rain,Box,3,Hadapsar,68.3,0
2.8,Pizza,3.3,Storm,Foil,0,Viman Nagar,31.5,0
3.1,Indian,1.48,Storm,Plastic,5,Hadapsar,40.8,0
3.4,Biryani,7.78,Rain,Paper,2,Kothrud,34.2,0
1.8,Indian,11.69,Fog,Paper,5,Wakad,33.9,1
3.1,Indian,18.44,Rain,Foil,4,Pimpri,13.3,0
1.1,Chinese,4.39,Rain,Paper,3,Kothrud,51.2,0
2.7,Burger,0.72,Rain,Foil,3,Hinjewadi,44.4,0
3.0,Biryani,17.07,Storm,Foil,0,Swargate,37.9,1
4.8,South Indian,6.49,Storm,Foil,5,Baner,45.5,0
4.3,South Indian,9.42,Storm,Paper,3,Koregaon Park,50.8,0
1.4,Indian,7.05,Rain,Plastic,3,Kothrud,87.9,1
3.5,Burger,8.63,Fog,Plastic,4,Hadapsar,20.3,1
3.8,South Indian,14.95,Storm,Box,0,Wakad,21.9,0
1.2,Biryani,3.36,Rain,Plastic,4,Hinjewadi,38.1,0
2.2,Indian,3.02,Rain,Plastic,1,Hinjewadi,23.5,0
3.5,South Indian,8.4,Clear,Paper,4,Hadapsar,84.2,0
1.6,South Indian,5.81,Storm,Foil,0,Shivaji Nagar,69.3,0
5.0,Burger,8.56,Fog,Box,1,Wakad,82.8,0
1.9,Chinese,2.36,Clear,Paper,0,Kothrud,44.6,0
2.6,Burger,1.66,Storm,Plastic,3,Swargate,72.1,1
4.7,Indian,0.52,Clear,Box,5,Pimpri,40.1,0
4.3,Chinese,0.68,Clear,Paper,4,Viman Nagar,76.9,0
2.4,South Indian,15.15,Rain,Foil,1,Wakad,47.4,1
1.2,Burger,5.99,Fog,Paper,1,Pimpri,12.7,0
3.1,Indian,5.81,Clear,Box,2,Pimpri,76.2,0
1.7,Biryani,7.38,Storm,Foil,0,Baner,20.5,0
2.3,Pizza,6.81,Storm,Plastic,1,Koregaon Park,23.4,0
2.6,Indian,17.77,Clear,Plastic,1,Viman Nagar,20.0,0
3.3,Pizza,15.84,Storm,Plastic,3,Shivaji Nagar,25.7,0
1.7,South Indian,6.38,Clear,Box,1,Hinjewadi,54.3,0
2.7,Biryani,17.29,Fog,Foil,1,Wakad,43.7,0
1.4,Biryani,11.7,Rain,Paper,1,Koregaon Park,24.3,1
3.0,Biryani,18.78,Fog,Foil,2,Koregaon Park,45.1,0
4.9,Chinese,17.84,Clear,Plastic,0,Baner,89.6,1
3.2,Burger,16.15,Rain,Plastic,0,Pimpri,83.0,0
2.3,Biryani,18.99,Storm,Paper,2,Shivaji Nagar,10.3,1
1.6,South Indian,10.85,Clear,Plastic,1,Koregaon Park,80.3,1
1.6,Chinese,4.2,Fog,Paper,0,Shivaji Nagar,12.8,0
1.9,South Indian,17.29,Rain,Box,3,Swargate,60.9,0
4.2,Biryani,18.16,Rain,Foil,5,Baner,22.6,0
1.2,Chinese,4.78,Rain,Box,1,Swargate,34.7,0
1.4,Indian,15.56,Rain,Box,1,Kothrud,12.9,1
2.5,Biryani,16.05,Fog,Box,4,Viman Nagar,29.0,0
1.6,South Indian,18.91,Rain,Plastic,2,Pimpri,42.5,0
1.6,Indian,10.29,Clear,Paper,2,Viman Nagar,31.2,0
4.9,South Indian,18.85,Rain,Box,5,Koregaon Park,89.4,1
2.6,Indian,14.14,Storm,Paper,0,Swargate,66.8,0
1.8,South Indian,9.42,Rain,Box,1,Shivaji Nagar,42.7,1
2.4,Chinese,6.2,Fog,Plastic,2,Shivaji Nagar,87.0,0
1.9,South Indian,4.71,Rain,Box,0,Hinjewadi,12.5,0
1.3,Indian,7.64,Storm,Paper,4,Pimpri,24.4,0
4.7,South Indian,6.8,Fog,Box,2,Viman Nagar,32.5,0
2.0,Biryani,12.91,Fog,Box,3,Wakad,85.4,0
2.8,Chinese,6.51,Clear,Paper,2,Wakad,31.2,0
3.6,South Indian,16.62,Rain,Foil,0,Swargate,64.7,1
1.2,Chinese,12.82,Fog,Foil,3,Baner,21.5,1
3.0,Pizza,16.19,Storm,Plastic,2,Koregaon Park,55.0,0
2.9,Chinese,13.95,Clear,Box,5,Koregaon Park,10.6,1
3.3,Biryani,1.15,Fog,Box,5,Pimpri,64.7,1
3.2,Chinese,1.96,Fog,Foil,3,Hadapsar,66.6,1
3.1,Pizza,18.08,Rain,Paper,2,Viman Nagar,68.9,1
3.2,South Indian,13.51,Fog,Plastic,0,Pimpri,70.3,0
4.0,Burger,15.49,Fog,Plastic,0,Pimpri,15.4,0
4.6,Indian,12.62,Fog,Paper,3,Koregaon Park,60.2,0
5.0,Chinese,10.73,Storm,Plastic,5,Baner,76.6,1
2.1,Biryani,1.36,Rain,Foil,3,Hadapsar,74.4,1
2.5,Biryani,15.51,Clear,Plastic,4,Baner,25.7,0
3.5,Biryani,9.08,Clear,Plastic,5,Wakad,30.6,0
4.9,Chinese,18.27,Rain,Plastic,5,Koregaon Park,87.1,1
4.1,Pizza,15.73,Rain,Paper,1,Hadapsar,47.8,0
1.2,Pizza,16.16,Rain,Plastic,3,Wakad,43.5,1
1.5,Indian,13.26,Rain,Box,2,Wakad,82.8,1
1.2,Chinese,13.89,Storm,Plastic,3,Koregaon Park,89.1,0
1.0,Pizza,19.12,Rain,Foil,2,Kothrud,38.2,0
1.2,Indian,18.83,Rain,Foil,2,Koregaon Park,43.4,1
2.7,Chinese,12.41,Storm,Paper,5,Pimpri,54.1,1
4.4,South Indian,8.51,Rain,Paper,1,Koregaon Park,38.8,0
4.6,Biryani,8.78,Storm,Paper,5,Hinjewadi,24.1,0
3.0,Biryani,11.38,Rain,Box,5,Kothrud,70.8,1
1.9,Pizza,13.12,Fog,Foil,3,Koregaon Park,72.3,1
1.5,Pizza,11.25,Storm,Paper,3,Hadapsar,31.2,1
4.4,Pizza,3.2,Clear,Plastic,1,Hinjewadi,57.0,0
1.8,South Indian,7.95,Storm,Plastic,4,Kothrud,54.1,0
1.8,Pizza,10.65,Storm,Plastic,1,Viman Nagar,46.9,1
3.9,Burger,3.87,Storm,Plastic,3,Pimpri,15.3,0
1.1,Burger,15.71,Clear,Plastic,3,Koregaon Park,61.9,1
3.2,Biryani,17.97,Fog,Box,1,Kothrud,16.8,0
1.4,Pizza,18.77,Fog,Paper,2,Baner,87.7,0
1.8,South Indian,18.41,Clear,Plastic,5,Viman Nagar,63.5,1
3.9,Burger,12.26,Fog,Plastic,5,Pimpri,65.3,1
3.4,Chinese,4.05,Storm,Plastic,1,Pimpri,76.3,0
4.8,Indian,6.43,Fog,Box,0,Pimpri,49.5,0
4.8,Pizza,19.77,Rain,Paper,2,Swargate,22.4,0
1.1,Chinese,14.51,Fog,Box,1,Shivaji Nagar,24.7,0
2.3,South Indian,2.02,Storm,Foil,3,Hadapsar,21.6,0
4.9,Indian,14.2,Fog,Paper,2,Shivaji Nagar,61.7,0
2.7,Indian,11.7,Clear,Box,1,Swargate,73.3,1
1.2,Burger,14.88,Fog,Plastic,0,Viman Nagar,82.6,0
3.7,Pizza,8.13,Clear,Foil,0,Wakad,88.8,1
4.3,Pizza,2.34,Fog,Box,1,Swargate,89.5,1
3.1,South Indian,14.17,Fog,Plastic,2,Kothrud,63.2,0
3.2,Pizza,13.86,Fog,Paper,0,Hinjewadi,17.6,0
2.5,Chinese,14.1,Storm,Box,1,Koregaon Park,41.6,0
1.7,Pizza,7.45,Storm,Plastic,5,Hadapsar,34.4,1
2.9,Chinese,12.04,Fog,Paper,4,Hinjewadi,42.5,1
3.2,Biryani,9.57,Storm,Paper,1,Hadapsar,70.0,0
4.5,Biryani,12.31,Fog,Plastic,4,Pimpri,68.6,1
2.6,Biryani,7.75,Rain,Foil,4,Hinjewadi,46.0,1
2.3,Pizza,19.27,Fog,Plastic,2,Hadapsar,51.1,0
1.3,Burger,19.08,Storm,Foil,4,Shivaji Nagar,22.0,1
2.9,Biryani,10.97,Fog,Foil,4,Swargate,84.9,0
4.3,Burger,11.96,Clear,Paper,2,Hinjewadi,16.4,1
4.1,Pizza,16.02,Fog,Box,3,Viman Nagar,72.7,0
3.7,South Indian,10.91,Clear,Box,4,Pimpri,28.1,0
4.0,Pizza,12.04,Storm,Paper,1,Hinjewadi,20.5,0
2.9,Pizza,8.07,Clear,Plastic,3,Swargate,21.6,0
2.6,Burger,17.9,Fog,Foil,4,Baner,25.9,0
2.2,Pizza,7.98,Fog,Box,5,Baner,12.1,0
1.3,Indian,15.14,Clear,Plastic,2,Swargate,40.4,1
1.2,Indian,14.26,Rain,Plastic,1,Kothrud,75.6,0
2.3,Chinese,15.18,Rain,Box,5,Viman Nagar,12.9,1
4.6,Biryani,5.62,Rain,Box,4,Wakad,76.3,1
2.0,Biryani,10.51,Fog,Box,4,Pimpri,63.0,1
1.7,Indian,15.78,Clear,Box,1,Baner,13.8,0
2.4,South Indian,15.82,Fog,Foil,4,Kothrud,61.6,0
2.6,Biryani,1.73,Rain,Box,2,Wakad,75.1,1
4.4,Burger,3.72,Storm,Paper,4,Wakad,18.5,0
4.8,South Indian,7.92,Rain,Plastic,3,Kothrud,76.5,0
1.2,South Indian,3.37,Storm,Foil,3,Hadapsar,63.4,1
4.0,Indian,12.4,Storm,Box,2,Pimpri,37.6,0
2.3,Chinese,1.5,Clear,Plastic,4,Hinjewadi,82.6,1
2.5,South Indian,19.45,Clear,Plastic,0,Shivaji Nagar,73.6,0
3.2,Chinese,8.07,Clear,Plastic,1,Swargate,49.3,0
3.9,Pizza,8.87,Fog,Box,0,Viman Nagar,24.1,0
2.7,Pizza,1.36,Fog,Paper,0,Swargate,62.2,0
5.0,Burger,2.55,Fog,Box,0,Baner,48.9,1
4.1,Pizza,18.49,Clear,Box,0,Baner,63.0,0
1.2,Biryani,13.81,Storm,Plastic,2,Hadapsar,53.8,0
2.4,South Indian,17.57,Rain,Foil,0,Viman Nagar,71.6,0
2.2,Pizza,14.99,Rain,Plastic,3,Koregaon Park,52.2,1
1.9,Biryani,2.46,Rain,Box,0,Wakad,12.5,1
3.0,South Indian,14.53,Rain,Box,2,Baner,45.5,0
2.0,Indian,19.01,Rain,Box,5,Shivaji Nagar,51.2,1
2.0,Indian,13.73,Fog,Plastic,4,Hinjewadi,13.1,1
2.9,South Indian,16.96,Fog,Plastic,0,Hinjewadi,71.7,0
3.7,South Indian,17.87,Rain,Plastic,5,Pimpri,72.6,1
3.3,Burger,6.2,Clear,Box,2,Koregaon Park,32.8,0
4.4,Chinese,19.28,Fog,Box,2,Wakad,29.2,0
4.9,Biryani,7.0,Clear,Plastic,0,Hadapsar,11.5,0
3.0,Burger,8.8,Clear,Box,1,Hadapsar,22.8,0
2.5,Chinese,4.95,Clear,Box,4,Kothrud,27.9,1
4.9,Indian,3.61,Fog,Foil,4,Swargate,85.5,0
4.9,Chinese,15.67,Clear,Plastic,1,Viman Nagar,61.5,0
3.0,South Indian,4.93,Rain,Foil,4,Baner,20.1,1
4.2,Burger,1.54,Storm,Foil,4,Wakad,81.7,0
3.5,Pizza,19.33,Fog,Paper,4,Hadapsar,68.3,0
1.8,Pizza,10.44,Clear,Foil,0,Wakad,55.8,1
4.7,Chinese,8.68,Rain,Plastic,2,Viman Nagar,80.4,1
2.4,Chinese,6.19,Rain,Box,3,Shivaji Nagar,33.3,1
3.9,South Indian,7.11,Clear,Box,3,Swargate,76.8,1
3.0,South Indian,16.57,Clear,Paper,2,Viman Nagar,88.0,1
2.7,Pizza,17.25,Storm,Box,5,Kothrud,62.7,0
4.5,Indian,15.63,Clear,Foil,2,Pimpri,66.4,1
1.5,Chinese,0.69,Rain,Box,4,Swargate,48.3,0
4.7,Biryani,5.58,Rain,Box,2,Wakad,33.1,0
3.9,Biryani,12.13,Storm,Box,5,Wakad,86.4,0
2.2,Burger,19.95,Storm,Foil,5,Viman Nagar,80.1,1
4.5,Pizza,14.87,Rain,Foil,4,Wakad,66.8,0
3.1,South Indian,15.58,Fog,Paper,4,Shivaji Nagar,52.9,0
4.6,Biryani,7.4,Rain,Paper,3,Swargate,29.4,0
4.3,South Indian,18.06,Fog,Foil,4,Swargate,73.7,0
1.9,Pizza,13.12,Fog,Foil,3,Koregaon Park,72.3,1
1.2,Indian,15.32,Fog,Plastic,4,Hinjewadi,82.8,1
1.8,Burger,5.03,Storm,Plastic,2,Hadapsar,77.8,1
1.8,Biryani,2.01,Clear,Paper,2,Hinjewadi,40.9,0
2.3,South Indian,2.63,Storm,Foil,4,Hadapsar,13.8,0
1.5,South Indian,13.12,Rain,Plastic,4,Pimpri,76.0,1
3.6,Pizza,19.71,Clear,Foil,4,Hadapsar,14.8,1
2.0,South Indian,13.82,Fog,Plastic,1,Viman Nagar,47.5,0
3.8,Pizza,15.0,Storm,Box,1,Viman Nagar,68.6,1
2.1,Pizza,1.84,Clear,Box,2,Baner,35.3,0
2.2,Chinese,9.16,Storm,Box,4,Wakad,47.6,0
2.6,Biryani,2.68,Clear,Paper,4,Koregaon Park,89.1,0
3.2,South Indian,2.34,Clear,Foil,1,Wakad,78.7,0
4.8,Pizza,0.77,Rain,Box,5,Koregaon Park,67.3,1
2.4,Pizza,14.64,Clear,Box,1,Koregaon Park,17.6,1
2.0,Biryani,6.1,Storm,Box,2,Koregaon Park,43.8,0
3.6,Indian,10.19,Storm,Plastic,4,Swargate,10.1,0
3.1,Indian,11.21,Clear,Box,2,Baner,36.9,0
4.4,Biryani,16.49,Rain,Plastic,4,Wakad,65.1,0
3.6,Burger,16.04,Storm,Box,3,Swargate,13.7,0
4.4,Pizza,14.31,Fog,Foil,3,Wakad,48.5,0
4.3,Burger,2.28,Rain,Box,5,Kothrud,13.0,0
1.6,Indian,8.87,Storm,Plastic,5,Kothrud,58.3,0
4.9,Chinese,19.34,Storm,Plastic,4,Shivaji Nagar,61.5,0
4.8,Pizza,19.77,Rain,Paper,2,Swargate,22.4,0
1.3,South Indian,9.94,Rain,Box,0,Koregaon Park,55.6,1
4.0,Indian,1.35,Rain,Foil,1,Baner,12.0,0
1.4,Biryani,0.57,Storm,Plastic,5,Shivaji Nagar,61.2,0
1.8,South Indian,5.58,Rain,Foil,1,Koregaon Park,27.3,0
1.3,South Indian,12.47,Storm,Paper,5,Wakad,76.1,1
2.7,Biryani,10.33,Fog,Plastic,3,Viman Nagar,21.2,0
2.2,Pizza,0.96,Fog,Paper,2,Kothrud,17.7,0
4.8,South Indian,11.28,Storm,Plastic,1,Baner,34.9,1
2.3,Burger,18.03,Clear,Paper,1,Viman Nagar,34.9,0
2.7,South Indian,5.58,Rain,Foil,2,Hadapsar,12.2,0
3.9,Indian,0.78,Storm,Paper,2,Hadapsar,18.9,0
1.6,South Indian,9.09,Fog,Box,0,Wakad,71.6,0
3.8,Biryani,18.35,Fog,Foil,3,Wakad,12.6,1
3.7,Burger,12.87,Clear,Foil,2,Koregaon Park,50.8,1
4.2,South Indian,15.61,Rain,Plastic,4,Wakad,80.1,0
4.9,Burger,4.53,Clear,Box,1,Kothrud,34.3,0
2.1,Chinese,4.51,Clear,Foil,2,Hinjewadi,73.1,0
3.4,Chinese,14.8,Clear,Plastic,5,Hadapsar,23.5,1
4.2,South Indian,15.61,Rain,Plastic,4,Wakad,80.1,0
1.7,Chinese,13.3,Storm,Plastic,3,Baner,85.8,1
3.1,Biryani,0.71,Storm,Foil,3,Kothrud,71.6,1
4.7,Chinese,3.21,Clear,Foil,4,Koregaon Park,88.1,0
1.3,Biryani,5.88,Clear,Plastic,4,Hadapsar,44.3,1
3.4,South Indian,8.42,Fog,Paper,1,Viman Nagar,36.3,0
4.4,South Indian,14.56,Clear,Box,1,Viman Nagar,24.1,0
4.0,Burger,18.16,Storm,Foil,2,Shivaji Nagar,18.7,0
3.3,Biryani,10.49,Clear,Foil,1,Wakad,77.3,0
1.7,Indian,6.71,Rain,Plastic,1,Koregaon Park,58.4,1
1.1,South Indian,3.38,Fog,Paper,3,Wakad,68.2,0
3.0,Pizza,16.31,Clear,Box,4,Hinjewadi,61.3,0
1.5,Biryani,18.65,Storm,Foil,3,Swargate,30.0,0
3.8,South Indian,0.86,Rain,Paper,5,Kothrud,82.9,1
3.3,Burger,15.71,Storm,Plastic,4,Pimpri,29.4,0
2.1,Chinese,19.05,Storm,Foil,1,Kothrud,16.2,0
4.4,Chinese,9.32,Storm,Box,3,Baner,43.0,0
3.7,Biryani,18.57,Rain,Foil,4,Viman Nagar,16.1,1
1.7,Pizza,16.95,Rain,Foil,5,Swargate,13.0,1
4.7,Biryani,12.02,Fog,Plastic,2,Kothrud,70.7,0
1.4,Burger,18.82,Fog,Plastic,0,Pimpri,13.3,1
2.8,South Indian,1.11,Rain,Box,1,Viman Nagar,39.9,0
2.5,South Indian,6.92,Clear,Paper,5,Wakad,47.9,1
3.9,Burger,7.5,Storm,Paper,1,Shivaji Nagar,61.7,0
1.3,Chinese,6.01,Clear,Box,0,Baner,49.5,0
2.8,South Indian,6.77,Storm,Box,0,Swargate,21.6,0
1.6,Pizza,5.35,Storm,Foil,5,Viman Nagar,51.0,1
4.1,South Indian,3.04,Rain,Paper,5,Swargate,29.8,0
4.1,South Indian,19.81,Rain,Foil,3,Viman Nagar,38.3,0
1.2,Pizza,8.93,Clear,Foil,4,Koregaon Park,68.6,1
4.5,Chinese,3.94,Fog,Box,4,Koregaon Park,87.6,1
3.7,Pizza,6.72,Clear,Box,4,Kothrud,44.9,1
3.0,Burger,11.46,Clear,Paper,5,Viman Nagar,18.8,1
1.1,South Indian,14.04,Clear,Box,1,Pimpri,80.4,1
2.1,Indian,3.6,Fog,Paper,1,Hinjewadi,62.9,1
2.9,Burger,0.9,Storm,Paper,1,Hinjewadi,21.0,0
3.9,South Indian,8.69,Rain,Box,3,Hadapsar,67.1,0
1.3,Indian,15.85,Fog,Plastic,2,Swargate,19.6,0
3.6,Biryani,18.56,Storm,Foil,1,Swargate,33.6,0
1.1,Biryani,2.38,Rain,Box,0,Viman Nagar,87.2,1
2.6,Burger,8.26,Rain,Paper,1,Shivaji Nagar,19.2,0
1.4,Burger,18.57,Clear,Plastic,3,Hadapsar,63.5,1
1.6,Burger,6.84,Fog,Foil,0,Kothrud,68.1,1
4.3,Chinese,13.25,Fog,Plastic,3,Koregaon Park,12.2,0
3.7,South Indian,19.58,Fog,Foil,2,Kothrud,64.7,0
1.3,Pizza,19.63,Storm,Foil,0,Shivaji Nagar,85.8,1
2.5,Pizza,17.13,Storm,Foil,2,Viman Nagar,54.3,0
1.8,Pizza,12.4,Rain,Plastic,2,Swargate,70.3,0
1.8,South Indian,12.54,Storm,Plastic,3,Koregaon Park,55.0,1
1.4,Chinese,0.88,Rain,Box,4,Shivaji Nagar,69.5,1
3.7,Biryani,13.4,Rain,Plastic,1,Hadapsar,23.9,0
3.4,Biryani,13.74,Storm,Paper,1,Kothrud,29.1,0
4.9,Burger,17.12,Rain,Box,2,Wakad,61.3,1
2.2,Indian,12.56,Rain,Paper,2,Baner,36.6,1
3.0,Chinese,8.26,Rain,Box,4,Koregaon Park,80.5,1
2.4,Biryani,19.01,Storm,Box,2,Koregaon Park,59.6,1
4.7,Burger,9.62,Storm,Plastic,4,Shivaji Nagar,44.7,0
1.7,Pizza,2.46,Rain,Foil,5,Shivaji Nagar,64.5,1
2.7,South Indian,9.97,Rain,Plastic,0,Hinjewadi,31.2,0
2.9,Chinese,4.45,Rain,Paper,3,Koregaon Park,12.5,0
2.7,Burger,12.75,Clear,Foil,2,Wakad,21.7,0
4.4,Burger,17.98,Rain,Paper,3,Swargate,83.2,0
1.4,Biryani,13.09,Rain,Box,3,Swargate,80.2,0
1.9,Burger,1.1,Clear,Paper,1,Pimpri,81.4,0
4.8,South Indian,3.57,Storm,Box,0,Wakad,53.2,0
4.7,Biryani,9.07,Storm,Plastic,1,Wakad,74.1,0
2.6,South Indian,1.78,Storm,Plastic,5,Baner,10.5,1
2.2,Burger,17.18,Fog,Box,0,Wakad,24.1,1
1.7,Burger,17.13,Storm,Box,2,Hadapsar,57.8,0
4.9,Pizza,9.77,Storm,Plastic,4,Hinjewadi,87.8,0
3.1,Pizza,11.4,Fog,Foil,0,Viman Nagar,89.1,0
2.6,Burger,7.94,Clear,Paper,1,Wakad,34.3,0
3.2,Biryani,8.01,Storm,Paper,4,Hadapsar,61.4,0
2.7,Biryani,7.86,Storm,Box,4,Baner,62.6,1
2.4,Chinese,2.78,Storm,Box,5,Kothrud,78.2,1
1.1,Pizza,3.44,Clear,Foil,5,Shivaji Nagar,41.6,1
2.4,Pizza,3.48,Rain,Foil,1,Baner,25.3,0
3.0,South Indian,17.47,Clear,Foil,1,Pimpri,52.5,0
4.4,Biryani,13.64,Storm,Plastic,3,Koregaon Park,88.2,0
2.3,Biryani,7.8,Clear,Box,4,Viman Nagar,51.2,1
2.4,Pizza,18.71,Rain,Paper,4,Koregaon Park,79.6,1
2.8,Pizza,18.41,Fog,Plastic,4,Hinjewadi,72.6,0
2.6,South Indian,2.7,Rain,Paper,4,Pimpri,83.1,0
1.9,Pizza,3.34,Fog,Paper,0,Pimpri,45.9,1
4.6,Burger,15.39,Rain,Plastic,0,Baner,80.6,1
